seed,epoch,scope,n,auroc,cross_entropy
0,1,fit,216,0.6394675925925926,0.6824913844466209
0,1,development,216,0.5817901234567902,0.6834434218428753
0,3,fit,216,0.7135416666666666,0.7061030911626639
0,3,development,216,0.6462191358024691,0.7071013323686741
0,6,fit,216,0.6746720679012346,0.6000648123660574
0,6,development,216,0.5980902777777778,0.6226833640011372
0,12,fit,216,0.9510030864197531,0.39168851971610114
0,12,development,216,0.8603395061728395,0.5401255837908442
0,18,fit,216,0.9979745370370371,0.06286710739231642
0,18,development,216,0.8497299382716049,0.6396002867480709
1,1,fit,216,0.6439043209876543,0.6476879743514238
1,1,development,216,0.5056905864197531,0.648780420422554
1,3,fit,216,0.6480516975308642,0.6385938672831765
1,3,development,216,0.5565200617283951,0.6532560304083206
1,6,fit,216,0.785204475308642,0.553016357951694
1,6,development,216,0.5477430555555556,0.6951041649250934
1,12,fit,216,1.0,0.03556169912221971
1,12,development,216,0.8705632716049383,0.6271473243630656
1,18,fit,216,1.0,0.0023380686642254338
1,18,development,216,0.8470293209876543,1.208137110366556
2,1,fit,216,0.6048418209876543,0.6411616882240331
2,1,development,216,0.5619212962962963,0.6413517693678538
2,3,fit,216,0.6321373456790124,0.6266708402997918
2,3,development,216,0.5609567901234568,0.634040648324622
2,6,fit,216,0.6752507716049383,0.6181994963920227
2,6,development,216,0.49701003086419754,0.6901349507065283
2,12,fit,216,0.9753086419753086,0.23143919085190715
2,12,development,216,0.7823109567901234,0.6277767018706678
2,18,fit,216,0.9990354938271605,0.04925347978102388
2,18,development,216,0.7939814814814815,0.8886180432607047
3,1,fit,216,0.621141975308642,0.6558953487762699
3,1,development,216,0.5478395061728395,0.6566747302810351
3,3,fit,216,0.621045524691358,0.6269689447901867
3,3,development,216,0.5804398148148148,0.6377084053776882
3,6,fit,216,0.7560763888888888,0.5678328609576931
3,6,development,216,0.5659722222222222,0.6437031778472441
3,12,fit,216,0.9978780864197531,0.15800738481889953
3,12,development,216,0.7581983024691358,0.7869140631093985
3,18,fit,216,1.0,0.021541660550865233
3,18,development,216,0.7394868827160493,1.5452745266420806
4,1,fit,216,0.6212384259259259,0.6887317567511841
4,1,development,216,0.5803433641975309,0.6890393848772403
4,3,fit,216,0.6306905864197531,0.6403984341908384
4,3,development,216,0.5401234567901234,0.6417832940264985
4,6,fit,216,0.6527777777777778,0.6146653829901306
4,6,development,216,0.5505401234567902,0.6371573828574684
4,12,fit,216,0.8045910493827161,0.5330912976146296
4,12,development,216,0.5425347222222222,0.6648008554690966
4,18,fit,216,0.9847608024691358,0.18633211536901703
4,18,development,216,0.7201967592592593,0.7724495834812131
