seed,scope,auroc_delta,cross_entropy_delta
0,fit,0.3233024691358025,-0.537197704973741
0,development,0.25163966049382713,0.016916922746933682
1,fit,0.214795524691358,-0.5506782892874685
1,development,0.2992862654320987,0.5130329454414625
2,fit,0.3237847222222222,-0.5689460166109988
2,development,0.29697145061728397,0.1984830925541764
3,fit,0.24392361111111116,-0.5462912004068279
3,development,0.17351466049382713,0.9015713487948366
4,fit,0.331983024691358,-0.42833326762111357
4,development,0.16965663580246915,0.1352922006237447
