seed,budget,method,calibration_group,fallback,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0,0.01,B1,all,False,432,8,2,136,286,0.05555555555555555,0.8,0.1038961038961039,0.006944444444444444,0.48811246141975306,0.48811246141975306
0,0.01,B2,all,False,432,2,2,142,286,0.013888888888888888,0.5,0.02702702702702703,0.006944444444444444,0.5007716049382716,0.5007716049382716
0,0.01,B3,harsh,False,216,1,1,71,143,0.013888888888888888,0.5,0.02702702702702703,0.006944444444444444,0.5384837962962963,0.5384837962962963
0,0.01,B3,standard,False,216,1,1,71,143,0.013888888888888888,0.5,0.02702702702702703,0.006944444444444444,0.4554398148148148,0.4554398148148148
0,0.01,P1,0,False,164,0,1,54,109,0.0,0.0,0.0,0.00909090909090909,0.419023569023569,0.419023569023569
0,0.01,P1,1,False,268,1,1,89,177,0.011111111111111112,0.5,0.021739130434782608,0.0056179775280898875,0.5390761548064918,0.5390761548064918
1,0.01,B1,all,False,432,2,2,142,286,0.013888888888888888,0.5,0.02702702702702703,0.006944444444444444,0.568407600308642,0.568407600308642
1,0.01,B2,all,False,432,7,2,137,286,0.04861111111111111,0.7777777777777778,0.0915032679738562,0.006944444444444444,0.5979456018518519,0.5979456018518519
1,0.01,B3,harsh,False,216,3,1,69,143,0.041666666666666664,0.75,0.07894736842105263,0.006944444444444444,0.6490162037037037,0.6490162037037037
1,0.01,B3,standard,False,216,0,1,72,143,0.0,0.0,0.0,0.006944444444444444,0.5530478395061729,0.5530478395061729
1,0.01,P1,0,False,164,0,1,54,109,0.0,0.0,0.0,0.00909090909090909,0.557070707070707,0.557070707070707
1,0.01,P1,1,False,268,3,1,87,177,0.03333333333333333,0.75,0.06382978723404255,0.0056179775280898875,0.6343320848938826,0.6343320848938826
2,0.01,B1,all,False,432,7,2,137,286,0.04861111111111111,0.7777777777777778,0.0915032679738562,0.006944444444444444,0.7109375,0.7109375
2,0.01,B2,all,False,432,1,2,143,286,0.006944444444444444,0.3333333333333333,0.013605442176870748,0.006944444444444444,0.4934895833333333,0.4934895833333333
2,0.01,B3,harsh,False,216,0,1,72,143,0.0,0.0,0.0,0.006944444444444444,0.5161072530864198,0.5161072530864198
2,0.01,B3,standard,False,216,0,1,72,143,0.0,0.0,0.0,0.006944444444444444,0.44733796296296297,0.44733796296296297
2,0.01,P1,0,False,164,0,1,54,109,0.0,0.0,0.0,0.00909090909090909,0.4063973063973064,0.4063973063973064
2,0.01,P1,1,False,268,0,1,90,177,0.0,0.0,0.0,0.0056179775280898875,0.5290886392009988,0.5290886392009988
3,0.01,B1,all,False,432,8,2,136,286,0.05555555555555555,0.8,0.1038961038961039,0.006944444444444444,0.8269917052469136,0.8269917052469136
3,0.01,B2,all,False,432,8,2,136,286,0.05555555555555555,0.8,0.1038961038961039,0.006944444444444444,0.5717351466049383,0.5717351466049383
3,0.01,B3,harsh,False,216,7,1,65,143,0.09722222222222222,0.875,0.175,0.006944444444444444,0.6630015432098766,0.6630015432098766
3,0.01,B3,standard,False,216,2,1,70,143,0.027777777777777776,0.6666666666666666,0.05333333333333334,0.006944444444444444,0.46238425925925924,0.46238425925925924
3,0.01,P1,0,False,164,2,1,52,109,0.037037037037037035,0.6666666666666666,0.07017543859649122,0.00909090909090909,0.431986531986532,0.431986531986532
3,0.01,P1,1,False,268,7,1,83,177,0.07777777777777778,0.875,0.14285714285714285,0.0056179775280898875,0.6466916354556804,0.6466916354556804
4,0.01,B1,all,False,432,1,2,143,286,0.006944444444444444,0.3333333333333333,0.013605442176870748,0.006944444444444444,0.47393422067901236,0.47393422067901236
4,0.01,B2,all,False,432,2,2,142,286,0.013888888888888888,0.5,0.02702702702702703,0.006944444444444444,0.47183641975308643,0.47183641975308643
4,0.01,B3,harsh,False,216,2,1,70,143,0.027777777777777776,0.6666666666666666,0.05333333333333334,0.006944444444444444,0.5393518518518519,0.5393518518518519
4,0.01,B3,standard,False,216,0,1,72,143,0.0,0.0,0.0,0.006944444444444444,0.3908179012345679,0.3908179012345679
4,0.01,P1,0,False,164,0,1,54,109,0.0,0.0,0.0,0.00909090909090909,0.34915824915824917,0.34915824915824917
4,0.01,P1,1,False,268,2,1,88,177,0.022222222222222223,0.6666666666666666,0.043010752688172046,0.0056179775280898875,0.5320848938826467,0.5320848938826467
0,0.025,B1,all,False,432,8,7,136,281,0.05555555555555555,0.5333333333333333,0.10062893081761007,0.024305555555555556,0.48811246141975306,0.48811246141975306
0,0.025,B2,all,False,432,3,7,141,281,0.020833333333333332,0.3,0.03896103896103896,0.024305555555555556,0.5007716049382716,0.5007716049382716
0,0.025,B3,harsh,False,216,2,3,70,141,0.027777777777777776,0.4,0.05194805194805195,0.020833333333333332,0.5384837962962963,0.5384837962962963
0,0.025,B3,standard,False,216,2,3,70,141,0.027777777777777776,0.4,0.05194805194805195,0.020833333333333332,0.4554398148148148,0.4554398148148148
0,0.025,P1,0,False,164,1,2,53,108,0.018518518518518517,0.3333333333333333,0.03508771929824561,0.01818181818181818,0.419023569023569,0.419023569023569
0,0.025,P1,1,False,268,3,4,87,174,0.03333333333333333,0.42857142857142855,0.061855670103092786,0.02247191011235955,0.5390761548064918,0.5390761548064918
1,0.025,B1,all,False,432,9,7,135,281,0.0625,0.5625,0.1125,0.024305555555555556,0.568407600308642,0.568407600308642
1,0.025,B2,all,False,432,9,7,135,281,0.0625,0.5625,0.1125,0.024305555555555556,0.5979456018518519,0.5979456018518519
1,0.025,B3,harsh,False,216,7,3,65,141,0.09722222222222222,0.7,0.17073170731707318,0.020833333333333332,0.6490162037037037,0.6490162037037037
1,0.025,B3,standard,False,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.5530478395061729,0.5530478395061729
1,0.025,P1,0,False,164,0,2,54,108,0.0,0.0,0.0,0.01818181818181818,0.557070707070707,0.557070707070707
