budget,seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0.01,0,B1,all,__all__,__all__,1152,11,0,373,768,0.028645833333333332,1.0,0.05569620253164557,0.0,0.5476108127170138,0.5476108127170138
0.01,0,B2,all,__all__,__all__,1152,13,0,371,768,0.033854166666666664,1.0,0.0654911838790932,0.0,0.5677897135416666,0.5677897135416666
0.01,0,B3,all,__all__,__all__,1152,8,5,376,763,0.020833333333333332,0.6153846153846154,0.04030226700251889,0.006510416666666667,0.5677897135416666,0.5595228407118056
0.01,0,P1,all,__all__,__all__,1152,8,2,376,766,0.020833333333333332,0.8,0.04060913705583756,0.0026041666666666665,0.5677897135416666,0.5593905978732638
0.01,0,B1,seen,__all__,__all__,432,8,0,136,288,0.05555555555555555,1.0,0.10526315789473684,0.0,0.5577498070987654,0.5577498070987654
0.01,0,B2,seen,__all__,__all__,432,6,0,138,288,0.041666666666666664,1.0,0.08,0.0,0.5785349151234568,0.5785349151234568
0.01,0,B3,seen,__all__,__all__,432,4,3,140,285,0.027777777777777776,0.5714285714285714,0.052980132450331126,0.010416666666666666,0.5785349151234568,0.5689139660493827
0.01,0,P1,seen,__all__,__all__,432,4,2,140,286,0.027777777777777776,0.6666666666666666,0.05333333333333334,0.006944444444444444,0.5785349151234568,0.5662615740740741
0.01,0,B1,seen,__all__,central_furniture,144,4,0,44,96,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5540364583333334,0.5540364583333334
0.01,0,B2,seen,__all__,central_furniture,144,3,0,45,96,0.0625,1.0,0.11764705882352941,0.0,0.5779079861111112,0.5779079861111112
0.01,0,B3,seen,__all__,central_furniture,144,3,1,45,95,0.0625,0.75,0.11538461538461539,0.010416666666666666,0.5779079861111112,0.5713975694444444
0.01,0,P1,seen,__all__,central_furniture,144,3,0,45,96,0.0625,1.0,0.11764705882352941,0.0,0.5779079861111112,0.5598958333333334
0.01,0,B1,seen,__all__,clear,144,4,0,44,96,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5588107638888888,0.5588107638888888
0.01,0,B2,seen,__all__,clear,144,3,0,45,96,0.0625,1.0,0.11764705882352941,0.0,0.5826822916666666,0.5826822916666666
0.01,0,B3,seen,__all__,clear,144,1,2,47,94,0.020833333333333332,0.3333333333333333,0.0392156862745098,0.020833333333333332,0.5826822916666666,0.5798611111111112
0.01,0,P1,seen,__all__,clear,144,1,2,47,94,0.020833333333333332,0.3333333333333333,0.0392156862745098,0.020833333333333332,0.5826822916666666,0.58203125
0.01,0,B1,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.5935329861111112,0.5935329861111112
0.01,0,B2,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.62109375,0.62109375
0.01,0,B3,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.62109375,0.5805121527777778
0.01,0,P1,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.62109375,0.5907118055555556
0.01,0,B1,seen,harsh,__all__,216,8,0,64,144,0.1111111111111111,1.0,0.2,0.0,0.5917245370370371,0.5917245370370371
0.01,0,B2,seen,harsh,__all__,216,6,0,66,144,0.08333333333333333,1.0,0.15384615384615385,0.0,0.6049382716049383,0.6049382716049383
0.01,0,B3,seen,harsh,__all__,216,4,0,68,144,0.05555555555555555,1.0,0.10526315789473684,0.0,0.6049382716049383,0.6049382716049383
0.01,0,P1,seen,harsh,__all__,216,4,0,68,144,0.05555555555555555,1.0,0.10526315789473684,0.0,0.6049382716049383,0.6033950617283951
0.01,0,B1,seen,harsh,central_furniture,72,4,0,20,48,0.16666666666666666,1.0,0.2857142857142857,0.0,0.6111111111111112,0.6111111111111112
0.01,0,B2,seen,harsh,central_furniture,72,3,0,21,48,0.125,1.0,0.2222222222222222,0.0,0.6197916666666666,0.6197916666666666
0.01,0,B3,seen,harsh,central_furniture,72,3,0,21,48,0.125,1.0,0.2222222222222222,0.0,0.6197916666666666,0.6197916666666666
0.01,0,P1,seen,harsh,central_furniture,72,3,0,21,48,0.125,1.0,0.2222222222222222,0.0,0.6197916666666666,0.6197916666666666
0.01,0,B1,seen,harsh,clear,72,4,0,20,48,0.16666666666666666,1.0,0.2857142857142857,0.0,0.6076388888888888,0.6076388888888888
0.01,0,B2,seen,harsh,clear,72,3,0,21,48,0.125,1.0,0.2222222222222222,0.0,0.6423611111111112,0.6423611111111112
0.01,0,B3,seen,harsh,clear,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6423611111111112,0.6423611111111112
0.01,0,P1,seen,harsh,clear,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6423611111111112,0.6371527777777778
0.01,0,B1,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6223958333333334,0.6223958333333334
0.01,0,B2,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6267361111111112,0.6267361111111112
0.01,0,B3,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6267361111111112,0.6267361111111112
0.01,0,P1,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6267361111111112,0.6258680555555556
0.01,0,B1,seen,standard,__all__,216,0,0,72,144,0.0,,0.0,0.0,0.5360725308641975,0.5360725308641975
0.01,0,B2,seen,standard,__all__,216,0,0,72,144,0.0,,0.0,0.0,0.5597029320987654,0.5597029320987654
0.01,0,B3,seen,standard,__all__,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.5597029320987654,0.5597029320987654
0.01,0,P1,seen,standard,__all__,216,0,2,72,142,0.0,0.0,0.0,0.013888888888888888,0.5597029320987654,0.5405092592592593
0.01,0,B1,seen,standard,central_furniture,72,0,0,24,48,0.0,,0.0,0.0,0.5217013888888888,0.5217013888888888
0.01,0,B2,seen,standard,central_furniture,72,0,0,24,48,0.0,,0.0,0.0,0.5572916666666666,0.5572916666666666
0.01,0,B3,seen,standard,central_furniture,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5572916666666666,0.5572916666666666
0.01,0,P1,seen,standard,central_furniture,72,0,0,24,48,0.0,,0.0,0.0,0.5572916666666666,0.5251736111111112
0.01,0,B1,seen,standard,clear,72,0,0,24,48,0.0,,0.0,0.0,0.5347222222222222,0.5347222222222222
0.01,0,B2,seen,standard,clear,72,0,0,24,48,0.0,,0.0,0.0,0.5373263888888888,0.5373263888888888
0.01,0,B3,seen,standard,clear,72,0,2,24,46,0.0,0.0,0.0,0.041666666666666664,0.5373263888888888,0.5373263888888888
0.01,0,P1,seen,standard,clear,72,0,2,24,46,0.0,0.0,0.0,0.041666666666666664,0.5373263888888888,0.5434027777777778
0.01,0,B1,seen,standard,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.5720486111111112,0.5720486111111112
0.01,0,B2,seen,standard,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6241319444444444,0.6241319444444444
0.01,0,B3,seen,standard,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6241319444444444,0.6241319444444444
0.01,0,P1,seen,standard,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6241319444444444,0.5685763888888888
0.01,0,B1,unseen,__all__,__all__,720,3,0,237,480,0.0125,1.0,0.024691358024691357,0.0,0.5428385416666667,0.5428385416666667
0.01,0,B2,unseen,__all__,__all__,720,7,0,233,480,0.029166666666666667,1.0,0.05668016194331984,0.0,0.5630381944444445,0.5630381944444445
0.01,0,B3,unseen,__all__,__all__,720,4,2,236,478,0.016666666666666666,0.6666666666666666,0.032520325203252036,0.004166666666666667,0.5630381944444445,0.554453125
0.01,0,P1,unseen,__all__,__all__,720,4,0,236,480,0.016666666666666666,1.0,0.03278688524590164,0.0,0.5630381944444445,0.5569791666666667
0.01,0,B1,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.5581597222222222,0.5581597222222222
0.01,0,B2,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.5538194444444444,0.5538194444444444
0.01,0,B3,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.5538194444444444,0.53515625
0.01,0,P1,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.5538194444444444,0.5685763888888888
0.01,0,B1,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5499131944444444,0.5499131944444444
0.01,0,B2,unseen,__all__,low_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.5740017361111112,0.5740017361111112
0.01,0,B3,unseen,__all__,low_new,144,1,1,47,95,0.020833333333333332,0.5,0.04,0.010416666666666666,0.5740017361111112,0.568359375
0.01,0,P1,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5740017361111112,0.5805121527777778
0.01,0,B1,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5405815972222222,0.5405815972222222
0.01,0,B2,unseen,__all__,two_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.5685763888888888,0.5685763888888888
0.01,0,B3,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5685763888888888,0.5579427083333334
0.01,0,P1,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5685763888888888,0.5653211805555556
0.01,0,B1,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.5922309027777778,0.5922309027777778
0.01,0,B2,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.6184895833333334
0.01,0,B3,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.5842013888888888
0.01,0,P1,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.58203125
0.01,0,B1,unseen,__all__,wide_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5366753472222222,0.5366753472222222
