budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.01,P1_minus_B3,all,__all__,__all__,5,5,0.0,0.0,5,0.02736425339366515,0.09030933797147409,5,2.8955058045279646e-05,0.00017047871195087323,5,0.0,0.0,5,-0.002024332682291674,0.005577132177874593,5,-0.0005208333333333334,0.0019747071468884246
0.01,P1_minus_B3,seen,__all__,__all__,5,5,0.0,0.0,5,0.007509157509157505,0.05503807754400067,5,-7.634659459015148e-05,0.00039866484164391625,5,0.0,0.0,5,-0.007166280864197549,0.009254397776135688,5,0.0,0.0024552318791199565
0.01,P1_minus_B3,seen,__all__,central_furniture,5,5,0.0,0.0,5,0.05,0.11180339887498951,5,0.0004524886877828038,0.0010117954649320278,5,0.0,0.0,5,-0.013281249999999977,0.006808151476630251,5,-0.0020833333333333333,0.004658474953124562
0.01,P1_minus_B3,seen,__all__,clear,5,5,0.0,0.0,5,-0.012121212121212133,0.027103854272724753,5,-0.0009039548022598875,0.0020213043864404892,5,0.0,0.0,5,0.0007378472222222098,0.0028896277371318235,5,0.002083333333333333,0.004658474953124561
0.01,P1_minus_B3,seen,__all__,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,0.008246527777777813,0.013050638630195897,5,0.0,0.0
0.01,P1_minus_B3,seen,harsh,__all__,5,5,0.0,0.0,5,-0.0505194805194805,0.048637187238358026,5,-0.0013200935883081633,0.0012367105293241399,5,0.0,0.0,5,-0.0018132716049382934,0.0007067928611327484,5,0.004166666666666667,0.0038036288715636536
0.01,P1_minus_B3,seen,harsh,central_furniture,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.01,P1_minus_B3,seen,harsh,clear,5,5,0.0,0.0,5,-0.08111111111111109,0.10240924919648448,5,-0.0065783889313301095,0.006410029240003864,5,0.0,0.0,5,-0.003819444444444442,0.0027174437226560183,5,0.012499999999999999,0.01141088661469096
0.01,P1_minus_B3,seen,harsh,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,-0.001388888888888884,0.0015769012260924303,5,0.0,0.0
0.01,P1_minus_B3,seen,standard,__all__,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,-0.023051697530864224,0.02323048707829711,5,-0.004166666666666667,0.0038036288715636536
0.01,P1_minus_B3,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.03975694444444443,0.022928829369208637,5,-0.004166666666666667,0.009316949906249124
0.01,P1_minus_B3,seen,standard,clear,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.004861111111111105,0.002500843800501385,5,-0.008333333333333333,0.01141088661469096
0.01,P1_minus_B3,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.04149305555555555,0.05042349347336658,5,0.0,0.0
0.01,P1_minus_B3,unseen,__all__,__all__,5,5,0.0,0.0,5,0.06666666666666668,0.149071198499986,5,5.331200852992102e-05,0.00011920927508995203,5,0.0,0.0,5,0.0023645833333333366,0.0032802026547179047,5,-0.0008333333333333333,0.0018633899812498245
0.01,P1_minus_B3,unseen,__all__,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.04327256944444442,0.014068794673147008,5,0.0,0.0
0.01,P1_minus_B3,unseen,__all__,low_new,5,5,0.0,0.0,5,0.1,0.22360679774997902,5,0.00016326530612244817,0.0003650723228571067,5,0.0,0.0,5,0.010199652777777813,0.0019104618990515583,5,-0.0020833333333333333,0.004658474953124562
0.01,P1_minus_B3,unseen,__all__,two_new,5,5,0.0,0.0,4,,,5,0.0,0.0,5,0.0,0.0,5,0.0050347222222222095,0.0032129783894655904,5,0.0,0.0
0.01,P1_minus_B3,unseen,__all__,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,0.003993055555555558,0.008602349530815874,5,0.0,0.0
0.01,P1_minus_B3,unseen,__all__,wide_new,5,5,0.0,0.0,4,,,5,0.000313725490196079,0.0007015115223528764,5,0.0,0.0,5,-0.018619791666666673,0.00943873214007757,5,-0.0020833333333333333,0.004658474953124562
0.01,P1_minus_B3,unseen,harsh,__all__,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,-0.0028055555555555277,0.0014411604629388888,5,0.0,0.0
0.01,P1_minus_B3,unseen,harsh,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,-0.02083333333333337,0.01169461248724604,5,0.0,0.0
0.01,P1_minus_B3,unseen,harsh,low_new,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.01,P1_minus_B3,unseen,harsh,two_new,5,5,0.0,0.0,4,,,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.01,P1_minus_B3,unseen,harsh,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.01,P1_minus_B3,unseen,harsh,wide_new,5,5,0.0,0.0,4,,,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.01,P1_minus_B3,unseen,standard,__all__,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.010062500000000007,0.020284471402838983,5,-0.0016666666666666666,0.003726779962499649
0.01,P1_minus_B3,unseen,standard,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.05555555555555554,0.04132619138426263,5,0.0,0.0
0.01,P1_minus_B3,unseen,standard,low_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.010069444444444442,0.011294733806822324,5,-0.004166666666666667,0.009316949906249124
0.01,P1_minus_B3,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.004513888888888884,0.01430844175981917,5,0.0,0.0
0.01,P1_minus_B3,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.05902777777777777,0.04930754226239968,5,0.0,0.0
0.01,P1_minus_B3,unseen,standard,wide_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.045138888888888895,0.023796441253251407,5,-0.004166666666666667,0.009316949906249124
0.025,P1_minus_B3,all,__all__,__all__,5,5,0.009375,0.004730703678277332,5,0.0077741974800798145,0.09306730525126258,5,0.0165449021174393,0.00869151528116795,5,0.0,0.0,5,0.0007039388020833482,0.0044208151359201924,5,0.002083333333333333,0.004837024901303831
0.025,P1_minus_B3,seen,__all__,__all__,5,5,0.011111111111111112,0.009316949906249124,5,-0.022294871794871763,0.09461864703256716,5,0.017445124725369472,0.01758598615054137,5,0.0,0.0,5,-0.0032841435185185343,0.007928873599322905,5,0.006944444444444445,0.00850517271799715
0.025,P1_minus_B3,seen,__all__,central_furniture,5,5,0.016666666666666666,0.01743041721945991,5,0.040000000000000036,0.14462595433277758,5,0.028199120318987126,0.0310121183871626,5,0.0,0.0,5,-0.00772569444444442,0.009803648967734465,5,0.0,0.00736569563735987
0.025,P1_minus_B3,seen,__all__,clear,5,5,0.012500000000000002,0.011410886614690963,5,-0.04395363408521304,0.05833843578660685,5,0.011912876662483885,0.018718654219625146,5,0.0,0.0,5,0.0003472222222222321,0.0017197580517498807,5,0.01875,0.022582795196540415
0.025,P1_minus_B3,seen,__all__,vertical_mid,5,5,0.004166666666666667,0.009316949906249124,1,,,5,0.007686274509803921,0.01718703229764544,5,0.0,0.0,5,0.012022569444444464,0.010268220323929374,5,0.0020833333333333333,0.004658474953124562
0.025,P1_minus_B3,seen,harsh,__all__,5,5,0.022222222222222223,0.018633899812498248,5,-0.10142326272761056,0.07866991118022447,5,0.02710634655611876,0.034558866661139005,5,0.0,0.0,5,-0.0010609567901234795,0.0008155639720914523,5,0.018055555555555554,0.015987311712807414
0.025,P1_minus_B3,seen,harsh,central_furniture,5,5,0.03333333333333333,0.03486083443891982,5,-0.006666666666666643,0.09617692030835671,5,0.04750115784598542,0.05359474705767348,5,0.0,0.0,5,0.0,0.0,5,0.004166666666666667,0.009316949906249124
0.025,P1_minus_B3,seen,harsh,clear,5,5,0.025000000000000005,0.022821773229381927,5,-0.12031728075845724,0.06845807846191511,5,0.0068566832400870584,0.04050111735922256,5,0.0,0.0,5,-0.002256944444444464,0.002575068919130429,5,0.04583333333333334,0.04516559039308083
0.025,P1_minus_B3,seen,harsh,vertical_mid,5,5,0.008333333333333333,0.018633899812498248,1,,,5,0.01476923076923077,0.033025003975381516,5,0.0,0.0,5,-0.0008680555555555358,0.001063146589749628,5,0.004166666666666667,0.009316949906249124
0.025,P1_minus_B3,seen,standard,__all__,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,-0.020081018518518533,0.018310178681981863,5,-0.004166666666666667,0.0038036288715636536
0.025,P1_minus_B3,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.031076388888888907,0.025643659929116713,5,-0.004166666666666667,0.009316949906249124
0.025,P1_minus_B3,seen,standard,clear,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.003645833333333326,0.0028394838947562763,5,-0.008333333333333335,0.011410886614690962
0.025,P1_minus_B3,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.043923611111111094,0.03647176505224604,5,0.0,0.0
0.025,P1_minus_B3,unseen,__all__,__all__,5,5,0.008333333333333331,0.005892556509887895,5,0.04935064935064937,0.09649225866790505,5,0.015803302280926933,0.010951812217507446,5,0.0,0.0,5,0.0044045138888888944,0.003523950618415928,5,-0.0008333333333333335,0.00315953143502148
