budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.01,B1,all,__all__,__all__,5,5,0.03177083333333334,0.008518451684268817,5,0.7984126984126985,0.1876107214868874,5,0.060792254075962913,0.015149527902285537,5,0.6471110026041667,0.1313430760123502,5,0.6471110026041667,0.1313430760123502,5,0.005208333333333333,0.005289087503018203
0.01,B1,seen,__all__,__all__,5,5,0.061111111111111116,0.013357905598382881,5,0.7928733031674209,0.19063032783215844,5,0.1123117604312637,0.021519429360199807,5,0.6628713348765432,0.13398304112954346,5,0.6628713348765432,0.13398304112954346,5,0.01111111111111111,0.010531771450071597
0.01,B1,seen,__all__,central_furniture,5,5,0.05416666666666666,0.018633899812498245,5,0.8833333333333332,0.16244657241348273,5,0.10153242835595777,0.033126872329517776,5,0.6614149305555556,0.1429363424772005,5,0.6614149305555556,0.1429363424772005,5,0.004166666666666667,0.00570544330734548
0.01,B1,seen,__all__,clear,5,5,0.12916666666666668,0.042695628191498324,5,0.7734265734265734,0.2070095438489724,5,0.21391412144399088,0.055776564707807966,5,0.6712239583333333,0.13726287157350192,5,0.6712239583333333,0.13726287157350192,5,0.029166666666666667,0.026962873136551636
0.01,B1,seen,__all__,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6819010416666667,0.10863820186102864,5,0.6819010416666667,0.10863820186102864,5,0.0,0.0
0.01,B1,seen,harsh,__all__,5,5,0.12222222222222223,0.026715811196765762,5,0.7928733031674209,0.19063032783215844,5,0.20801491964743785,0.035064883890016454,5,0.69477237654321,0.13268256782300983,5,0.69477237654321,0.13268256782300983,5,0.02222222222222222,0.021063542900143194
0.01,B1,seen,harsh,central_furniture,5,5,0.10833333333333332,0.03726779962499649,5,0.8833333333333332,0.16244657241348273,5,0.19116809116809116,0.05939271190588056,5,0.7005208333333334,0.12807276487158323,5,0.7005208333333334,0.12807276487158323,5,0.008333333333333333,0.01141088661469096
0.01,B1,seen,harsh,clear,5,5,0.25833333333333336,0.08539125638299665,5,0.7734265734265734,0.2070095438489724,5,0.36725868725868727,0.07560788075068332,5,0.7152777777777778,0.12932279896811522,5,0.7152777777777778,0.12932279896811522,5,0.058333333333333334,0.05392574627310327
0.01,B1,seen,harsh,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.7190972222222223,0.11052566575814354,5,0.7190972222222223,0.11052566575814354,5,0.0,0.0
0.01,B1,seen,standard,__all__,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6339699074074074,0.13204200469711136,5,0.6339699074074074,0.13204200469711136,5,0.0,0.0
0.01,B1,seen,standard,central_furniture,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6373263888888888,0.15053494983785387,5,0.6373263888888888,0.15053494983785387,5,0.0,0.0
0.01,B1,seen,standard,clear,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.640798611111111,0.13617050017057752,5,0.640798611111111,0.13617050017057752,5,0.0,0.0
0.01,B1,seen,standard,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.640451388888889,0.1117440738478934,5,0.640451388888889,0.1117440738478934,5,0.0,0.0
0.01,B1,unseen,__all__,__all__,5,5,0.014166666666666666,0.010865337342004415,5,0.8400000000000001,0.23021728866442676,5,0.027614180510388588,0.020833215842981843,5,0.6380399305555555,0.129426601768284,5,0.6380399305555555,0.129426601768284,5,0.0016666666666666666,0.002716334335501104
0.01,B1,unseen,__all__,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6492621527777778,0.1335348372692153,5,0.6492621527777778,0.1335348372692153,5,0.0,0.0
0.01,B1,unseen,__all__,low_new,5,5,0.03333333333333334,0.027950849718747367,5,0.8142857142857143,0.25555062599997597,5,0.061580705009276426,0.0468882346131508,5,0.6623697916666667,0.1389126566577416,5,0.6623697916666667,0.1389126566577416,5,0.008333333333333333,0.01358167167750552
0.01,B1,unseen,__all__,two_new,5,5,0.016666666666666666,0.01743041721945991,3,,,5,0.0323265306122449,0.03356680695190224,5,0.6346788194444445,0.13277691133678435,5,0.6346788194444445,0.13277691133678435,5,0.0,0.0
0.01,B1,unseen,__all__,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.666796875,0.10814594897507186,5,0.666796875,0.10814594897507186,5,0.0,0.0
0.01,B1,unseen,__all__,wide_new,5,5,0.020833333333333332,0.020833333333333332,3,,,5,0.04016326530612245,0.0400016659378196,5,0.6137586805555555,0.11498238789565274,5,0.6137586805555555,0.11498238789565274,5,0.0,0.0
0.01,B1,unseen,harsh,__all__,5,5,0.028333333333333332,0.02173067468400883,5,0.8400000000000001,0.23021728866442676,5,0.05387903274799425,0.04001364961003105,5,0.6593194444444445,0.13165667998636024,5,0.6593194444444445,0.13165667998636024,5,0.003333333333333333,0.005432668671002208
0.01,B1,unseen,harsh,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6498263888888889,0.12996447071320047,5,0.6498263888888889,0.12996447071320047,5,0.0,0.0
0.01,B1,unseen,harsh,low_new,5,5,0.06666666666666668,0.055901699437494734,5,0.8142857142857143,0.25555062599997597,5,0.11499751861042184,0.07998798005865253,5,0.6866319444444444,0.12944364577498604,5,0.6866319444444444,0.12944364577498604,5,0.016666666666666666,0.02716334335501104
0.01,B1,unseen,harsh,two_new,5,5,0.03333333333333333,0.03486083443891982,3,,,5,0.06276923076923077,0.06474711846184683,5,0.6618055555555556,0.12464776036404805,5,0.6618055555555556,0.12464776036404805,5,0.0,0.0
