recording_id,endpoint,event_id,event_onset,event_end,event_subtype,label,kind
v2_standard_10001,5611,v2_standard_10001_event5609,5609,5617,FALL,1,fall
v2_standard_10002,3538,v2_standard_10002_event3536,3536,3546,RECOVERED_FALL,1,fall
v2_standard_10003,1099,v2_standard_10003_event1097,1097,1100,FALL,1,fall
v2_standard_10004,967,v2_standard_10004_event965,965,969,FALL,1,fall
v2_standard_10001,4271,v2_standard_10001_event4269,4269,4289,FALL,1,fall
v2_standard_10002,3758,v2_standard_10002_event3756,3756,3763,FALL,1,fall
v2_standard_10003,1418,v2_standard_10003_event1416,1416,1432,RECOVERED_FALL,1,fall
v2_standard_10004,3743,v2_standard_10004_event3741,3741,3744,FALL,1,fall
v2_standard_10001,1612,v2_standard_10001_event1610,1610,1614,RECOVERED_FALL,1,fall
v2_standard_10002,729,v2_standard_10002_event727,727,731,FALL,1,fall
v2_standard_10003,5962,v2_standard_10003_event5960,5960,5964,FALL,1,fall
v2_standard_10004,676,v2_standard_10004_event674,674,677,FALL,1,fall
v2_standard_10001,591,v2_standard_10001_event589,589,593,FALL,1,fall
v2_standard_10002,4852,v2_standard_10002_event4850,4850,4857,FALL,1,fall
v2_standard_10003,5712,v2_standard_10003_event5710,5710,5716,RECOVERED_FALL,1,fall
v2_standard_10004,2418,v2_standard_10004_event2416,2416,2426,FALL,1,fall
v2_standard_10001,1688,v2_standard_10001_event1686,1686,1693,FALL,1,fall
v2_standard_10002,324,v2_standard_10002_event322,322,330,FALL,1,fall
v2_standard_10003,671,v2_standard_10003_event669,669,675,FALL,1,fall
v2_standard_10004,1139,v2_standard_10004_event1137,1137,1141,FALL,1,fall
v2_standard_10001,2478,v2_standard_10001_event2476,2476,2489,FALL,1,fall
v2_standard_10002,5433,v2_standard_10002_event5431,5431,5437,FALL,1,fall
v2_standard_10003,1594,v2_standard_10003_event1592,1592,1600,RECOVERED_FALL,1,fall
v2_standard_10004,4052,v2_standard_10004_event4050,4050,4054,FALL,1,fall
v2_standard_10001,380,v2_standard_10001_event378,378,387,FALL,1,fall
v2_standard_10002,5334,v2_standard_10002_event5332,5332,5338,RECOVERED_FALL,1,fall
v2_standard_10003,5451,v2_standard_10003_event5449,5449,5453,FALL,1,fall
v2_standard_10004,4577,v2_standard_10004_event4575,4575,4580,RECOVERED_FALL,1,fall
v2_standard_10001,3493,v2_standard_10001_event3491,3491,3495,RECOVERED_FALL,1,fall
v2_standard_10002,4621,v2_standard_10002_event4619,4619,4622,FALL,1,fall
v2_standard_10003,923,v2_standard_10003_event921,921,927,FALL,1,fall
v2_standard_10004,4491,v2_standard_10004_event4489,4489,4498,RECOVERED_FALL,1,fall
v2_standard_10001,3228,v2_standard_10001_event3226,3226,3232,RECOVERED_FALL,1,fall
v2_standard_10002,4100,v2_standard_10002_event4098,4098,4112,FALL,1,fall
v2_standard_10003,4829,v2_standard_10003_event4827,4827,4832,RECOVERED_FALL,1,fall
v2_standard_10004,349,v2_standard_10004_event347,347,355,FALL,1,fall
v2_standard_10001,712,v2_standard_10001_event710,710,716,FALL,1,fall
v2_standard_10002,833,v2_standard_10002_event831,831,838,FALL,1,fall
v2_standard_10003,3256,v2_standard_10003_event3254,3254,3260,FALL,1,fall
v2_standard_10004,788,v2_standard_10004_event786,786,793,FALL,1,fall
v2_standard_10001,427,v2_standard_10001_event425,425,428,RECOVERED_FALL,1,fall
v2_standard_10002,1554,v2_standard_10002_event1552,1552,1557,FALL,1,fall
v2_standard_10003,860,v2_standard_10003_event858,858,867,RECOVERED_FALL,1,fall
v2_standard_10004,3447,v2_standard_10004_event3445,3445,3464,RECOVERED_FALL,1,fall
v2_standard_10001,1667,v2_standard_10001_event1665,1665,1680,FALL,1,fall
v2_standard_10002,4449,v2_standard_10002_event4447,4447,4454,FALL,1,fall
v2_standard_10003,4260,v2_standard_10003_event4258,4258,4262,FALL,1,fall
v2_standard_10004,4033,v2_standard_10004_event4031,4031,4034,RECOVERED_FALL,1,fall
v2_standard_10001,2392,v2_standard_10001_event2390,2390,2391,NEAR_FALL,0,near_fall
v2_standard_10002,3625,v2_standard_10002_event3622,3622,3624,NEAR_FALL,0,near_fall
v2_standard_10003,983,v2_standard_10003_event981,981,982,NEAR_FALL,0,near_fall
v2_standard_10004,808,v2_standard_10004_event805,805,807,NEAR_FALL,0,near_fall
v2_standard_10001,5601,v2_standard_10001_event5598,5598,5600,NEAR_FALL,0,near_fall
v2_standard_10002,2571,v2_standard_10002_event2568,2568,2570,NEAR_FALL,0,near_fall
v2_standard_10003,1323,v2_standard_10003_event1320,1320,1322,NEAR_FALL,0,near_fall
v2_standard_10004,5163,v2_standard_10004_event5160,5160,5162,NEAR_FALL,0,near_fall
v2_standard_10001,2892,v2_standard_10001_event2890,2890,2891,NEAR_FALL,0,near_fall
v2_standard_10002,3112,v2_standard_10002_event3110,3110,3111,NEAR_FALL,0,near_fall
v2_standard_10003,1995,v2_standard_10003_event1993,1993,1994,NEAR_FALL,0,near_fall
v2_standard_10004,2807,v2_standard_10004_event2805,2805,2806,NEAR_FALL,0,near_fall
v2_standard_10001,787,v2_standard_10001_event785,785,786,NEAR_FALL,0,near_fall
v2_standard_10002,2624,v2_standard_10002_event2622,2622,2623,NEAR_FALL,0,near_fall
v2_standard_10003,5086,v2_standard_10003_event5084,5084,5085,NEAR_FALL,0,near_fall
