seed,method,scope,facility,geometry,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0,B1,all,__all__,__all__,0.3828125,0.4341523341523342,0.503995428848468,0.27979532877604174,0.27979532877604174,0.020833333333333332
0,B2,all,__all__,__all__,0.2552083333333333,0.2739291380222104,0.36828420400971473,0.22930908203125,0.22930908203125,-0.009114583333333334
0,B3,all,__all__,__all__,0.24218749999999997,0.15969465648854952,0.3440548816673392,0.22930908203125,0.24025132921006942,0.016927083333333336
0,P1,all,__all__,__all__,0.2526041666666667,0.14710836608646827,0.35365385515659375,0.22930908203125,0.21916368272569442,0.018229166666666664
0,B1,seen,__all__,__all__,0.48611111111111105,0.4604651162790697,0.5915302089215132,0.298828125,0.298828125,0.020833333333333332
0,B2,seen,__all__,__all__,0.3055555555555556,0.2857142857142857,0.41887226697353275,0.2431520061728395,0.2431520061728395,-0.013888888888888888
0,B3,seen,__all__,__all__,0.3055555555555556,0.20000000000000007,0.4072398190045249,0.2431520061728395,0.25062692901234573,0.013888888888888888
0,P1,seen,__all__,__all__,0.3125,0.09375,0.40384615384615385,0.2431520061728395,0.236352237654321,0.02430555555555556
0,B1,seen,__all__,central_furniture,0.4791666666666667,0.5238095238095237,0.5923632610939112,0.3148871527777778,0.3148871527777778,0.020833333333333332
0,B2,seen,__all__,central_furniture,0.3125,0.2857142857142857,0.40641711229946526,0.24262152777777768,0.24262152777777768,-0.020833333333333332
0,B3,seen,__all__,central_furniture,0.2916666666666667,0.11594202898550732,0.3588941053729786,0.24262152777777768,0.23524305555555547,0.03125
0,P1,seen,__all__,central_furniture,0.33333333333333337,0.0,0.39700180925303696,0.24262152777777768,0.2250434027777778,0.04166666666666667
0,B1,seen,__all__,clear,0.5833333333333334,0.38235294117647056,0.6547842401500938,0.3148871527777778,0.3148871527777778,0.020833333333333332
0,B2,seen,__all__,clear,0.3333333333333333,0.2857142857142857,0.42687747035573126,0.26041666666666663,0.26041666666666663,-0.020833333333333332
0,B3,seen,__all__,clear,0.4166666666666667,0.29333333333333333,0.5093860984271943,0.26041666666666663,0.26671006944444453,-0.010416666666666666
0,P1,seen,__all__,clear,0.3958333333333333,0.17460317460317454,0.4581818181818182,0.26041666666666663,0.2567274305555556,0.010416666666666668
0,B1,seen,__all__,vertical_mid,0.39583333333333337,0.5,0.5163398692810458,0.2543402777777778,0.2543402777777778,0.020833333333333332
0,B2,seen,__all__,vertical_mid,0.2708333333333333,,0.4262295081967213,0.20594618055555547,0.20594618055555547,0.0
0,B3,seen,__all__,vertical_mid,0.20833333333333334,,0.3333333333333333,0.20594618055555547,0.2398003472222222,0.020833333333333332
0,P1,seen,__all__,vertical_mid,0.20833333333333334,,0.3333333333333333,0.20594618055555547,0.20681423611111116,0.020833333333333332
0,B1,seen,harsh,__all__,0.75,0.5354838709677419,0.7681106661812886,0.30005787037037035,0.30005787037037035,-0.013888888888888888
0,B2,seen,harsh,__all__,0.4861111111111111,0.2857142857142857,0.5366726296958856,0.24758873456790131,0.24758873456790131,-0.027777777777777776
0,B3,seen,harsh,__all__,0.375,0.19999999999999996,0.4590836562571233,0.24758873456790131,0.24758873456790131,-0.013888888888888888
0,P1,seen,harsh,__all__,0.375,0.18181818181818177,0.4497991967871485,0.24758873456790131,0.25028935185185186,-0.013888888888888888
0,B1,seen,harsh,central_furniture,0.7916666666666667,0.6190476190476191,0.8148148148148148,0.3133680555555556,0.3133680555555556,-0.020833333333333332
0,B2,seen,harsh,central_furniture,0.5,0.2857142857142857,0.5066876475216364,0.2421875,0.2421875,-0.041666666666666664
0,B3,seen,harsh,central_furniture,0.41666666666666674,0.19999999999999996,0.4609800362976406,0.2421875,0.2421875,-0.020833333333333332
0,P1,seen,harsh,central_furniture,0.45833333333333337,0.19999999999999996,0.49336870026525204,0.2421875,0.24826388888888884,-0.020833333333333332
0,B1,seen,harsh,clear,0.8333333333333333,0.41666666666666663,0.7738095238095237,0.29947916666666663,0.29947916666666663,0.0
0,B2,seen,harsh,clear,0.5416666666666666,0.2857142857142857,0.5345622119815667,0.25173611111111116,0.25173611111111116,-0.041666666666666664
0,B3,seen,harsh,clear,0.5416666666666667,0.19999999999999996,0.5534062237174096,0.25173611111111116,0.25173611111111116,-0.020833333333333332
0,P1,seen,harsh,clear,0.5,0.16666666666666663,0.4959349593495935,0.25173611111111116,0.2543402777777778,-0.020833333333333332
0,B1,seen,harsh,vertical_mid,0.625,0.607843137254902,0.7064137308039747,0.2534722222222222,0.2534722222222222,-0.020833333333333332
0,B2,seen,harsh,vertical_mid,0.4166666666666667,,0.5882352941176471,0.21614583333333326,0.21614583333333326,0.0
0,B3,seen,harsh,vertical_mid,0.16666666666666666,,0.2857142857142857,0.21614583333333326,0.21614583333333326,0.0
0,P1,seen,harsh,vertical_mid,0.16666666666666666,,0.2857142857142857,0.21614583333333326,0.21961805555555558,0.0
0,B1,seen,standard,__all__,0.2222222222222222,,0.3333333333333333,0.2826967592592593,0.2826967592592593,0.05555555555555555
0,B2,seen,standard,__all__,0.125,,0.2222222222222222,0.22289737654320985,0.22289737654320985,0.0
0,B3,seen,standard,__all__,0.2361111111111111,0.68,0.35051546391752575,0.22289737654320985,0.22289737654320985,0.041666666666666664
0,P1,seen,standard,__all__,0.25,0.6428571428571429,0.36,0.22289737654320985,0.20389660493827166,0.0625
0,B1,seen,standard,central_furniture,0.16666666666666666,,0.25806451612903225,0.29166666666666663,0.29166666666666663,0.0625
0,B2,seen,standard,central_furniture,0.125,,0.2222222222222222,0.22916666666666663,0.22916666666666663,0.0
