method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,all,__all__,__all__,5,5,0.23489583333333336,0.17174079356288974,5,0.1854198207547034,0.15546715776810918,5,0.30554668816801156,0.21498127308921303,5,0.15906982421875,0.12728959156005698,5,0.15906982421875,0.12728959156005698,5,0.0078125,0.01387192431813966
B1,seen,__all__,__all__,5,5,0.26944444444444443,0.19784964752228232,5,0.21598302943558173,0.16700898017551616,5,0.32628753124193705,0.23608450793760494,5,0.1735773533950617,0.13024180833452073,5,0.1735773533950617,0.13024180833452073,5,1.3877787807814458e-18,0.012991865926298408
B1,seen,__all__,central_furniture,5,5,0.26666666666666666,0.19620974463285176,5,0.18982648930017348,0.19247877653904913,5,0.32679769048236307,0.23119378913264707,5,0.17751736111111116,0.13642917760539988,5,0.17751736111111116,0.13642917760539988,5,0.002083333333333333,0.015450413514782631
B1,seen,__all__,clear,5,5,0.2875,0.24930458836085986,5,0.23728369239517244,0.13861692694810443,5,0.32482111508975536,0.2689132554022956,5,0.18402777777777782,0.13399223774417696,5,0.18402777777777782,0.13399223774417696,5,-0.01875,0.023753654689565373
B1,seen,__all__,vertical_mid,5,5,0.2541666666666667,0.15756392000990865,4,,,5,0.3413162244498069,0.20375921754474607,5,0.14492187500000003,0.11544612659007582,5,0.14492187500000003,0.11544612659007582,5,0.016666666666666666,0.005705443307345481
B1,seen,harsh,__all__,5,5,0.3944444444444444,0.3122066524389903,5,0.25505775979418777,0.17679738482153604,5,0.40400130967604075,0.30203094757626975,5,0.18152006172839505,0.12523017927252297,5,0.18152006172839505,0.12523017927252297,5,-0.02777777777777778,0.012991865926298408
B1,seen,harsh,central_furniture,5,5,0.4,0.3301935459359825,5,0.23095238095238094,0.21977106208027292,5,0.40732193732193733,0.30779490085556444,5,0.18090277777777777,0.13399106029509822,5,0.18090277777777777,0.13399106029509822,5,-0.025,0.01743041721945991
B1,seen,harsh,clear,5,5,0.425,0.3777675652214379,5,0.2534102564102564,0.1394985972891049,5,0.39421456645899466,0.31561321533389486,5,0.17256944444444441,0.13089431568950016,5,0.17256944444444441,0.13089431568950016,5,-0.05,0.031595314350214794
B1,seen,harsh,vertical_mid,5,5,0.3583333333333334,0.23680453730638035,4,,,5,0.4339992205791603,0.2700523576433923,5,0.1449652777777778,0.10676906897819555,5,0.1449652777777778,0.10676906897819555,5,-0.008333333333333333,0.01141088661469096
B1,seen,standard,__all__,5,5,0.14444444444444443,0.08595415803758778,4,,,5,0.2201370378994349,0.13065781449074274,5,0.13971836419753092,0.14190630543835892,5,0.13971836419753092,0.14190630543835892,5,0.02777777777777778,0.017704928866641614
B1,seen,standard,central_furniture,5,5,0.13333333333333333,0.06846531968814577,2,,,5,0.2121881455585571,0.10704696790963245,5,0.13315972222222222,0.14558329465922548,5,0.13315972222222222,0.14558329465922548,5,0.029166666666666667,0.023753654689565376
B1,seen,standard,clear,5,5,0.15,0.12706625568314087,4,,,5,0.2201212607153849,0.18155997327761147,5,0.14895833333333336,0.14566996471073626,5,0.14895833333333336,0.14566996471073626,5,0.0125,0.018633899812498248
B1,seen,standard,vertical_mid,5,5,0.15,0.0959238702768445,1,,,5,0.2290941193277122,0.1401381987489152,5,0.14131944444444447,0.13123639286828445,5,0.14131944444444447,0.13123639286828445,5,0.041666666666666664,0.01473139127471974
B1,unseen,__all__,__all__,5,5,0.21416666666666667,0.15949682163325737,5,0.15932360101187815,0.15053144639611354,5,0.29225034895560836,0.20514183197235825,5,0.14791493055555555,0.12533514526837028,5,0.14791493055555555,0.12533514526837028,5,0.0125,0.016337903272248044
B1,unseen,__all__,horizontal_new,5,5,0.275,0.23634588001486298,2,,,5,0.3624561128698272,0.2831228219040091,5,0.14375000000000002,0.12162874417540472,5,0.14375000000000002,0.12162874417540472,5,0.037500000000000006,0.02614562582918986
B1,unseen,__all__,low_new,5,5,0.2833333333333333,0.18668805681016543,5,0.1718057344953896,0.16199942068494255,5,0.34460804094247854,0.22463089675886,5,0.16397569444444443,0.12660873724353464,5,0.16397569444444443,0.12660873724353464,5,0.014583333333333332,0.02814428351272145
B1,unseen,__all__,two_new,5,5,0.16666666666666669,0.14950729265007626,5,0.2776444144091203,0.24122308291832975,5,0.2434212729900788,0.19406752006033656,5,0.14830729166666667,0.12821743647949432,5,0.14830729166666667,0.12821743647949432,5,-0.008333333333333335,0.015450413514782631
B1,unseen,__all__,vertical_new,5,5,0.19583333333333336,0.1127697383560363,3,,,5,0.2877699355755573,0.15947554987461948,5,0.12721354166666665,0.11209900691937459,5,0.12721354166666665,0.11209900691937459,5,0.016666666666666666,0.013975424859373685
B1,unseen,__all__,wide_new,5,5,0.15,0.1392876220870565,5,0.1738095238095238,0.15352784337000996,5,0.2150591060386302,0.18428209280457966,5,0.15625000000000003,0.1312215533144823,5,0.15625000000000003,0.1312215533144823,5,0.0020833333333333337,0.013581671677505517
B1,unseen,harsh,__all__,5,5,0.29833333333333334,0.257215322681644,5,0.25215771071866666,0.16562151548346982,5,0.3702320576897697,0.27600073648121887,5,0.17698611111111112,0.12625847352309136,5,0.17698611111111112,0.12625847352309136,5,-0.015,0.00959238702768445
