split,facility,recording_id,start,end_exclusive,duration_frames,subtype,overlapping_windows
train,standard,standard_301,119,120,1,NEAR_FALL,2
train,standard,standard_301,200,201,1,NEAR_FALL,4
train,standard,standard_301,222,224,2,NEAR_FALL,4
train,standard,standard_301,265,266,1,NEAR_FALL,4
train,standard,standard_301,345,346,1,NEAR_FALL,4
train,standard,standard_301,421,422,1,NEAR_FALL,4
train,standard,standard_301,430,431,1,NEAR_FALL,4
train,standard,standard_301,442,444,2,NEAR_FALL,4
train,standard,standard_301,465,466,1,NEAR_FALL,4
train,standard,standard_301,499,501,2,NEAR_FALL,5
train,standard,standard_301,508,509,1,NEAR_FALL,4
train,standard,standard_301,587,588,1,NEAR_FALL,4
train,standard,standard_301,608,609,1,NEAR_FALL,4
train,standard,standard_302,138,139,1,NEAR_FALL,3
train,standard,standard_302,159,161,2,NEAR_FALL,4
train,standard,standard_302,238,239,1,NEAR_FALL,4
train,standard,standard_302,300,301,1,NEAR_FALL,4
train,standard,standard_302,385,386,1,NEAR_FALL,4
train,standard,standard_302,607,610,3,RECOVERED_FALL,4
train,standard,standard_302,724,725,1,NEAR_FALL,4
train,standard,standard_302,744,745,1,NEAR_FALL,3
train,harsh,harsh_301,374,375,1,NEAR_FALL,4
train,harsh,harsh_301,412,413,1,NEAR_FALL,4
train,harsh,harsh_301,432,433,1,NEAR_FALL,4
train,harsh,harsh_301,450,452,2,NEAR_FALL,4
train,harsh,harsh_301,567,569,2,NEAR_FALL,4
train,harsh,harsh_301,651,653,2,NEAR_FALL,4
train,harsh,harsh_301,673,674,1,NEAR_FALL,4
train,harsh,harsh_302,139,140,1,NEAR_FALL,3
train,harsh,harsh_302,238,239,1,NEAR_FALL,4
train,harsh,harsh_302,741,742,1,NEAR_FALL,3
train,harsh,harsh_302,744,746,2,NEAR_FALL,3
calibration,standard,standard_401,196,197,1,NEAR_FALL,4
calibration,standard,standard_401,203,204,1,NEAR_FALL,4
calibration,standard,standard_401,232,233,1,NEAR_FALL,4
calibration,standard,standard_401,241,242,1,NEAR_FALL,4
calibration,standard,standard_402,124,125,1,NEAR_FALL,2
calibration,standard,standard_402,253,254,1,NEAR_FALL,4
calibration,standard,standard_402,293,295,2,NEAR_FALL,4
calibration,standard,standard_402,450,452,2,NEAR_FALL,4
calibration,standard,standard_402,505,506,1,NEAR_FALL,4
calibration,standard,standard_402,515,516,1,NEAR_FALL,4
calibration,standard,standard_402,547,548,1,NEAR_FALL,4
calibration,harsh,harsh_401,274,275,1,NEAR_FALL,4
calibration,harsh,harsh_401,445,447,2,NEAR_FALL,4
calibration,harsh,harsh_402,114,115,1,NEAR_FALL,1
calibration,harsh,harsh_402,134,135,1,NEAR_FALL,3
calibration,harsh,harsh_402,252,253,1,NEAR_FALL,4
calibration,harsh,harsh_402,290,291,1,NEAR_FALL,4
calibration,harsh,harsh_402,298,299,1,NEAR_FALL,4
calibration,harsh,harsh_402,321,322,1,NEAR_FALL,4
calibration,harsh,harsh_402,348,349,1,NEAR_FALL,4
calibration,harsh,harsh_402,579,580,1,NEAR_FALL,4
calibration,harsh,harsh_402,604,605,1,NEAR_FALL,4
calibration,harsh,harsh_402,698,699,1,NEAR_FALL,4
test,standard,standard_501,163,164,1,NEAR_FALL,4
test,standard,standard_501,175,176,1,NEAR_FALL,4
test,standard,standard_501,408,410,2,NEAR_FALL,4
test,standard,standard_501,718,719,1,NEAR_FALL,4
test,standard,standard_502,133,135,2,NEAR_FALL,3
test,standard,standard_502,301,302,1,NEAR_FALL,4
test,standard,standard_502,333,334,1,NEAR_FALL,4
test,standard,standard_502,418,420,2,NEAR_FALL,4
test,standard,standard_502,454,455,1,NEAR_FALL,4
test,standard,standard_502,514,515,1,NEAR_FALL,4
test,standard,standard_502,633,634,1,NEAR_FALL,4
test,standard,standard_502,781,782,1,NEAR_FALL,1
test,harsh,harsh_501,354,356,2,NEAR_FALL,4
test,harsh,harsh_501,460,461,1,NEAR_FALL,4
test,harsh,harsh_501,557,561,4,FALL,4
test,harsh,harsh_501,602,603,1,NEAR_FALL,4
test,harsh,harsh_501,676,677,1,NEAR_FALL,4
test,harsh,harsh_502,194,195,1,NEAR_FALL,4
test,harsh,harsh_502,371,372,1,NEAR_FALL,4
