split,facility,recording_id,delta_t_seconds,window_duration_seconds,windows,positive_windows,positive_rate,abnormal_episodes,strict_fall_episodes,near_fall_episodes,recovered_fall_episodes,positive_endpoint_negative,positive_last5_negative,median_abnormal_frames,mean_points_per_occupied_bin,occupied_bin_fraction,always_empty_bin_fraction,range_saturated_fraction,height_saturated_fraction,empty_frames
train,standard,standard_301,1.0,64.0,40,28,0.7,13,0,13,0,27,24,2.0,4.3641448844998445,0.08418895348837209,0.0,0.0,0.0,0
train,standard,standard_302,1.0,64.0,40,24,0.6,8,0,7,1,24,21,1.0,8.130482105128369,0.04540406976744186,0.686046511627907,0.0,0.0,0
train,harsh,harsh_301,1.0,64.0,40,17,0.425,7,0,7,0,16,14,2.0,4.876320984786901,0.07509593023255814,0.47674418604651164,4.651162790697674e-05,1.4534883720930233e-05,0
train,harsh,harsh_302,1.0,64.0,40,10,0.25,4,0,4,0,10,10,1.0,4.675893547318438,0.07897383720930233,0.5534883720930233,2.0348837209302324e-05,8.720930232558139e-06,0
calibration,standard,standard_401,1.0,64.0,40,6,0.15,4,0,4,0,6,5,2.0,7.441710603397774,0.04962209302325581,0.6767441860465117,0.0,0.0,0
calibration,standard,standard_402,1.0,64.0,40,19,0.475,7,0,7,0,16,16,2.0,6.097209548052447,0.060526162790697675,0.44883720930232557,0.0,0.0,0
calibration,harsh,harsh_401,1.0,64.0,40,8,0.2,2,0,2,0,8,7,1.5,3.598583569405099,0.10261627906976745,0.0,0.0,4.36046511627907e-05,0
calibration,harsh,harsh_402,1.0,64.0,40,23,0.575,10,0,10,0,22,20,1.0,3.8120583370921666,0.09667151162790698,0.39767441860465114,5.813953488372093e-06,1.1627906976744185e-05,0
test,standard,standard_501,1.0,64.0,40,13,0.325,4,0,4,0,12,11,2.0,5.166747809152873,0.07165116279069768,0.0069767441860465115,0.0,0.0,0
test,standard,standard_502,1.0,64.0,40,24,0.6,8,0,8,0,23,22,1.0,8.008356545961004,0.04591860465116279,0.6883720930232559,2.9069767441860463e-06,0.0,0
test,harsh,harsh_501,1.0,64.0,40,19,0.475,5,1,4,0,18,17,1.0,3.81188863807374,0.09658430232558139,0.35348837209302325,1.1627906976744185e-05,2.6162790697674417e-05,0
test,harsh,harsh_502,1.0,64.0,40,8,0.2,2,0,2,0,7,6,1.0,4.9841922225735065,0.07355813953488372,0.6186046511627907,4.069767441860465e-05,2.325581395348837e-05,0
