label,abnormal_frames,endpoint_abnormal,last5_abnormal,first_abnormal_offset,last_abnormal_offset,split,facility,recording_id,start,last_abnormal_age_frames,strict_fall_frames
1,1,0,0,19,19,train,standard,standard_301,100,44,0
1,1,0,0,3,3,train,standard,standard_301,116,60,0
0,0,0,0,-1,-1,train,standard,standard_301,132,-1,0
1,1,0,0,52,52,train,standard,standard_301,148,11,0
1,3,0,1,36,59,train,standard,standard_301,164,4,0
1,3,0,0,20,43,train,standard,standard_301,180,20,0
1,3,0,0,4,27,train,standard,standard_301,196,36,0
1,3,0,0,10,53,train,standard,standard_301,212,10,0
1,1,0,0,37,37,train,standard,standard_301,228,26,0
1,1,0,0,21,21,train,standard,standard_301,244,42,0
1,1,0,0,5,5,train,standard,standard_301,260,58,0
0,0,0,0,-1,-1,train,standard,standard_301,276,-1,0
1,1,0,0,53,53,train,standard,standard_301,292,10,0
1,1,0,0,37,37,train,standard,standard_301,308,26,0
1,1,0,0,21,21,train,standard,standard_301,324,42,0
1,1,0,0,5,5,train,standard,standard_301,340,58,0
0,0,0,0,-1,-1,train,standard,standard_301,356,-1,0
1,2,0,0,49,58,train,standard,standard_301,372,5,0
1,4,0,0,33,55,train,standard,standard_301,388,8,0
1,5,0,1,17,61,train,standard,standard_301,404,2,0
1,5,0,0,1,45,train,standard,standard_301,420,18,0
1,4,1,1,6,63,train,standard,standard_301,436,0,0
1,4,0,0,13,56,train,standard,standard_301,452,7,0
1,3,0,0,31,40,train,standard,standard_301,468,23,0
1,3,0,0,15,24,train,standard,standard_301,484,39,0
1,2,0,0,0,8,train,standard,standard_301,500,55,0
0,0,0,0,-1,-1,train,standard,standard_301,516,-1,0
1,1,0,0,55,55,train,standard,standard_301,532,8,0
1,2,0,1,39,60,train,standard,standard_301,548,3,0
1,2,0,0,23,44,train,standard,standard_301,564,19,0
1,2,0,0,7,28,train,standard,standard_301,580,35,0
1,1,0,0,12,12,train,standard,standard_301,596,51,0
0,0,0,0,-1,-1,train,standard,standard_301,612,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,628,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,644,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,660,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,676,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,692,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,708,-1,0
0,0,0,0,-1,-1,train,standard,standard_301,724,-1,0
1,3,0,1,38,60,train,standard,standard_302,100,3,0
1,3,0,0,22,44,train,standard,standard_302,116,19,0
1,3,0,0,6,28,train,standard,standard_302,132,35,0
1,2,0,0,11,12,train,standard,standard_302,148,51,0
0,0,0,0,-1,-1,train,standard,standard_302,164,-1,0
1,1,0,0,58,58,train,standard,standard_302,180,5,0
1,1,0,0,42,42,train,standard,standard_302,196,21,0
1,1,0,0,26,26,train,standard,standard_302,212,37,0
1,1,0,0,10,10,train,standard,standard_302,228,53,0
1,1,0,0,56,56,train,standard,standard_302,244,7,0
1,1,0,0,40,40,train,standard,standard_302,260,23,0
1,1,0,0,24,24,train,standard,standard_302,276,39,0
1,1,0,0,8,8,train,standard,standard_302,292,55,0
0,0,0,0,-1,-1,train,standard,standard_302,308,-1,0
1,1,0,1,61,61,train,standard,standard_302,324,2,0
1,1,0,0,45,45,train,standard,standard_302,340,18,0
1,1,0,0,29,29,train,standard,standard_302,356,34,0
