method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,calibration,__all__,__all__,5,5,0.7285714285714286,0.1659529787513999,5,0.36826838350849533,0.02685199642113754,5,0.48266731544514857,0.02174905856131139,5,0.5590010683760684,0.02828424972620761,5,0.5590010683760684,0.02828424972620761,5,0.6865384615384615,0.2104234405338465
B1,calibration,__all__,clear,5,5,0.6607142857142858,0.21833962965424078,5,0.3830658601704061,0.029951018360480877,5,0.4716995912577702,0.04014017760686389,5,0.5769574175824175,0.03296309786496058,5,0.5769574175824175,0.03296309786496058,5,0.5923076923076923,0.2592233507269941
B1,calibration,harsh,__all__,5,5,0.610752688172043,0.22624126083670779,5,0.35526956665051773,0.026094123416421117,5,0.44241677491234765,0.07302681051508432,5,0.4791310072416063,0.043350868840386275,5,0.4791310072416063,0.043350868840386275,5,0.6870748299319729,0.1805606726528843
B1,calibration,harsh,clear,5,5,0.5483870967741935,0.2669829896330137,5,0.35379535896939285,0.02679286216247142,5,0.4179722161078093,0.09329371737815637,5,0.48729427254772884,0.0403877561697619,5,0.48729427254772884,0.0403877561697619,5,0.6122448979591837,0.22121921825182447
B1,calibration,standard,__all__,5,5,0.8746666666666666,0.16427619020012202,5,0.38144870877161496,0.05982139404970932,5,0.5200834802825117,0.03190044092862825,5,0.6771717171717171,0.023517164688721073,5,0.6771717171717171,0.023517164688721073,5,0.686060606060606,0.2638765885683881
B1,calibration,standard,clear,5,5,0.8,0.26229754097208,5,0.4100294117647059,0.07262922500797812,5,0.5178419000354484,0.0826214025207011,5,0.7092363636363637,0.026042051181734235,5,0.7092363636363637,0.026042051181734235,5,0.5745454545454545,0.3205367399423857
B1,test,__all__,__all__,5,5,0.66484375,0.18638073320480564,5,0.4032535627107431,0.009599851119044114,5,0.4953507360184016,0.052914196096615025,5,0.5012125651041666,0.015369989133997381,5,0.5012125651041666,0.015369989133997381,5,0.6549479166666667,0.18338585303602345
B1,test,__all__,clear,5,5,0.484375,0.2538762001448738,5,0.39290541134486584,0.019887399172526007,5,0.41484587152467467,0.09140519204141952,5,0.5042968750000001,0.012853745645792745,5,0.5042968750000001,0.012853745645792745,5,0.4958333333333333,0.25436723643626397
B1,test,harsh,__all__,5,5,0.712037037037037,0.12642364872711118,5,0.38960438567916783,0.0423127754884372,5,0.4980392884872713,0.031555099802751715,5,0.6096523410202657,0.036395583406504575,5,0.6096523410202657,0.036395583406504575,5,0.5863207547169812,0.19986450777142534
B1,test,harsh,clear,5,5,0.5925925925925927,0.15713484026367724,5,0.44722737370810395,0.10053577757452932,5,0.4952579811740444,0.07940028725928296,5,0.6304682040531098,0.02880173894167332,5,0.6304682040531098,0.02880173894167332,5,0.41509433962264153,0.26246090081591616
