method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
P1_minus_B3,all,__all__,__all__,5,5,0.02421875,0.02321673369862377,5,0.1344038392350591,0.08839466968184326,5,0.04077425866521252,0.03518728263332137,5,0.0,0.0,5,-0.028190358479817733,0.014310361631802762,5,-0.0078125,0.01806567308009324
P1_minus_B3,seen,__all__,__all__,5,5,0.026041666666666668,0.025515518153991435,5,0.15850963759322895,0.10589812853672906,5,0.04395331655558722,0.039139406005582,5,0.0,0.0,5,-0.027499276620370362,0.016420342155866238,5,-0.002083333333333334,0.011143615649917503
P1_minus_B3,seen,__all__,central_furniture,5,5,0.025,0.023696485762661094,5,0.12487179487179487,0.06367550048693509,5,0.04103755895909123,0.034612931861878186,5,0.0,0.0,5,-0.024055989583333326,0.01568861831657458,5,0.0,0.014731391274719736
P1_minus_B3,seen,__all__,clear,5,5,0.021875,0.02614562582918986,5,0.12756410256410255,0.13927379275769158,5,0.03586280927744342,0.040361868584930086,5,0.0,0.0,5,-0.010937500000000022,0.006057661959787278,5,0.002083333333333334,0.004658474953124564
P1_minus_B3,seen,__all__,vertical_mid,5,5,0.03125,0.03125,5,0.21342921784098254,0.15594721960775462,5,0.054445217491293184,0.04962337169484218,5,0.0,0.0,5,-0.051888020833333326,0.018679337333780494,5,-0.008333333333333335,0.015450413514782628
P1_minus_B3,seen,harsh,__all__,5,5,0.0765432098765432,0.060732710499994284,5,0.2636818736818737,0.21236462928000024,5,0.12238072077287838,0.0908445757440149,5,0.0,0.0,5,-0.004860625824986431,0.00212542469903039,5,0.010062893081761008,0.013041787014671524
P1_minus_B3,seen,harsh,central_furniture,5,5,0.07407407407407407,0.06415002990995841,5,0.20666666666666664,0.1673320053068151,5,0.11454022988505748,0.08897860020858983,5,0.0,0.0,5,-0.005171208944793881,0.0031870731658955815,5,0.011320754716981133,0.016875984735847473
P1_minus_B3,seen,harsh,clear,5,5,0.06666666666666667,0.07124216319137534,5,0.18666666666666668,0.23404652908722612,5,0.1028466814979607,0.10128047510868578,5,0.0,0.0,5,-0.005590496156533886,0.004307766598860227,5,0.01509433962264151,0.01578603823649199
P1_minus_B3,seen,harsh,vertical_mid,5,5,0.08888888888888888,0.06728111897994425,5,0.4066666666666666,0.3286335345030997,5,0.14616324535679376,0.11101270424012134,5,0.0,0.0,5,-0.004472396925227118,0.0026425814676714673,5,0.0037735849056603774,0.008437992367923733
P1_minus_B3,seen,standard,__all__,5,5,-0.010810810810810811,0.011746310640004773,5,-0.03422077922077922,0.0319570621042007,5,-0.016481839673329036,0.017236932636325517,5,0.0,0.0,5,-0.013743976534674207,0.009378681168376736,5,-0.017054263565891466,0.018507498273353986
P1_minus_B3,seen,standard,central_furniture,5,5,-0.010810810810810811,0.01480331236500449,5,-0.031363636363636364,0.045579374050583175,5,-0.016288416075650118,0.022341426172444456,5,0.0,0.0,5,-0.008925204274041476,0.010417395438832282,5,-0.013953488372093027,0.020800632348835255
