method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,all,__all__,__all__,5,5,0.08671875,0.03552325795121768,5,0.40068413068413067,0.0751163399803127,5,0.13853967443947057,0.044532702303837386,5,0.5012125651041666,0.015369989133997381,5,0.5012125651041666,0.015369989133997381,5,0.09244791666666666,0.049607495316533176
B1,seen,__all__,__all__,5,5,0.06354166666666666,0.03133668532602359,5,0.3761486516803517,0.0942694385754473,5,0.10645329325416208,0.04503598645786889,5,0.5043728298611111,0.015551418152844441,5,0.5043728298611111,0.015551418152844441,5,0.07152777777777777,0.0344258182165151
B1,seen,__all__,central_furniture,5,5,0.075,0.030055287596361478,5,0.3962540383593015,0.09856222852940588,5,0.12450238741838016,0.04286426942237628,5,0.51318359375,0.013775628605919481,5,0.51318359375,0.013775628605919481,5,0.07708333333333332,0.028144283512721448
B1,seen,__all__,clear,5,5,0.0375,0.03240068961457457,5,0.26055555555555554,0.19027676398756693,5,0.0643840223694869,0.053475608764601994,5,0.5042968750000001,0.012853745645792745,5,0.5042968750000001,0.012853745645792745,5,0.05625,0.03343084694975253
B1,seen,__all__,vertical_mid,5,5,0.078125,0.036643873123620545,5,0.4032913945957424,0.09746853322128005,5,0.12750983142767255,0.04820222331482016,5,0.50615234375,0.02705874182468445,5,0.50615234375,0.02705874182468445,5,0.08125,0.04320091948609942
B1,seen,harsh,__all__,5,5,0.12592592592592594,0.05045139936222852,5,0.5989377289377289,0.10295422273366381,5,0.20511301800274645,0.0673133317847689,5,0.6192406242720707,0.03485735180092776,5,0.6192406242720707,0.03485735180092776,5,0.04276729559748428,0.017452121918882527
B1,seen,harsh,central_furniture,5,5,0.14814814814814814,0.045360921162651446,5,0.6357142857142857,0.12128843454238124,5,0.2376401587027773,0.06100975180148333,5,0.6310272536687631,0.026444287810516436,5,0.6310272536687631,0.026444287810516436,5,0.04528301886792453,0.021512743869795056
B1,seen,harsh,clear,5,5,0.07407407407407407,0.05856069741052554,5,0.46428571428571425,0.30281184147564055,5,0.12576850094876663,0.09481289866731397,5,0.6304682040531098,0.02880173894167332,5,0.6304682040531098,0.02880173894167332,5,0.033962264150943396,0.01578603823649199
B1,seen,harsh,vertical_mid,5,5,0.15555555555555559,0.06085806194501845,5,0.6233333333333333,0.0401386485959743,5,0.24376456876456878,0.07001480576654268,5,0.5886792452830188,0.06820061624269588,5,0.5886792452830188,0.06820061624269588,5,0.0490566037735849,0.02531397710377121
B1,seen,standard,__all__,5,5,0.018018018018018018,0.019110994086122903,5,0.1160617059891107,0.11158591531779723,5,0.030239172592113766,0.030781667620643806,5,0.36466233675536,0.02607749626158638,5,0.36466233675536,0.02607749626158638,5,0.10697674418604652,0.06632325468591453
