method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
P1_minus_B3,all,__all__,__all__,5,5,-0.002604166666666667,0.004871949722361902,5,0.03860549012173682,0.034840206004176984,5,-0.0033407713641734615,0.008038525140438381,5,0.0,0.0,5,0.0014105902777777901,0.0026313851636549966,5,-0.004166666666666666,0.0025046072996967915
P1_minus_B3,seen,__all__,__all__,5,5,-0.005555555555555555,0.007607257743127306,5,0.012959282263630089,0.036811605976787294,5,-0.007417004112711939,0.011765720694766871,5,0.0,0.0,5,-0.002256944444444464,0.005698948184779071,5,-0.004166666666666668,0.0057054433073454825
P1_minus_B3,seen,__all__,central_furniture,5,5,0.008333333333333333,0.01141088661469096,5,0.19976190476190475,0.20945006819230122,5,0.01811029703524632,0.020566360792824243,5,0.0,0.0,5,-0.0073784722222222324,0.006644666185935293,5,-0.016666666666666666,0.01743041721945991
P1_minus_B3,seen,__all__,clear,5,5,-0.025,0.01743041721945991,5,-0.03688095238095238,0.025654748094129542,5,-0.0315885666310478,0.021762537009113108,5,0.0,0.0,5,0.001258680555555558,0.0014830164551449376,5,0.002083333333333334,0.004658474953124564
P1_minus_B3,seen,__all__,vertical_mid,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.015798611111111117,0.012254465132763013,5,0.0020833333333333333,0.004658474953124562
P1_minus_B3,seen,harsh,__all__,5,5,0.005555555555555558,0.007607257743127311,5,-0.023457676476519217,0.03674200878922335,5,0.003961154459202804,0.013110849057902317,5,0.0,0.0,5,-0.0010416666666666964,0.0008023392879276789,5,0.008333333333333331,0.009054447785003677
P1_minus_B3,seen,harsh,central_furniture,5,5,0.016666666666666666,0.02282177322938192,5,-0.008571428571428586,0.03407341679999677,5,0.022288864414101606,0.03604238457655986,5,0.0,0.0,5,0.0,0.0,5,0.004166666666666666,0.009316949906249122
P1_minus_B3,seen,harsh,clear,5,5,0.0,0.0,5,-0.03161049476838951,0.029358311611431022,5,-0.009285564634401843,0.01022456238397504,5,0.0,0.0,5,-0.0024305555555555803,0.002408756410679083,5,0.016666666666666666,0.017430417219459905
P1_minus_B3,seen,harsh,vertical_mid,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,-0.0008680555555555358,0.001063146589749628,5,0.004166666666666667,0.009316949906249124
P1_minus_B3,seen,standard,__all__,5,5,-0.01666666666666667,0.011620278146306603,5,-0.1638095238095238,0.10370680807360877,5,-0.030139090095866877,0.020714296629179584,5,0.0,0.0,5,-0.019039351851851894,0.01697676081926901,5,-0.01666666666666667,0.01261520980873955
P1_minus_B3,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.030208333333333347,0.025422322628887065,5,-0.0375,0.03090082702956526
P1_minus_B3,seen,standard,clear,5,5,-0.049999999999999996,0.03486083443891981,5,-0.2333333333333333,0.13693063937629152,5,-0.0819047619047619,0.055266823399825346,5,0.0,0.0,5,0.0038194444444444643,0.002500843800501358,5,-0.012499999999999999,0.01141088661469096
P1_minus_B3,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.039583333333333325,0.03282925975564167,5,0.0,0.0
P1_minus_B3,unseen,__all__,__all__,5,5,-0.0008333333333333318,0.009033118078616165,5,0.08354356256059041,0.0626205521544911,5,-0.0004327631271777599,0.01517621552079763,5,0.0,0.0,5,0.004828124999999961,0.0028278993178659745,5,-0.004166666666666666,0.0014731391274719742
P1_minus_B3,unseen,__all__,horizontal_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.014502404735479096,0.03242836282574611,5,0.0,0.0,5,0.037630208333333304,0.01652130028516102,5,0.0,0.0
P1_minus_B3,unseen,__all__,low_new,5,5,0.0,0.014731391274719736,5,0.13492063492063494,0.056855538693880325,5,0.00404121253486045,0.023650323418449096,5,0.0,0.0,5,0.009288194444444443,0.00687355308848231,5,-0.014583333333333334,0.005705443307345482
P1_minus_B3,unseen,__all__,two_new,5,5,0.0,0.0,5,0.11119047619047621,0.13697099846963484,5,0.0015221257552001182,0.0015191343317091338,5,0.0,0.0,5,0.007465277777777746,0.005542570409590981,5,-0.00625,0.00570544330734548
P1_minus_B3,unseen,__all__,vertical_new,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.008984375,0.00947384316455153,5,0.0,0.0
P1_minus_B3,unseen,__all__,wide_new,5,5,0.004166666666666666,0.017430417219459912,5,-0.0011111111111111072,0.06925620746628242,5,0.007175552021629483,0.027618088983782835,5,0.0,0.0,5,-0.011197916666666696,0.008295779913519534,5,3.4694469519536144e-19,0.007365695637359869
P1_minus_B3,unseen,harsh,__all__,5,5,0.005000000000000002,0.004564354645876386,5,-0.027962723550958857,0.05225698750172588,5,0.0067198766827143985,0.006298946680546723,5,0.0,0.0,5,-0.001986111111111111,0.0013965500509301573,5,0.003333333333333333,0.004564354645876384
P1_minus_B3,unseen,harsh,horizontal_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.01527777777777779,0.01092164304691083,5,0.0,0.0
P1_minus_B3,unseen,harsh,low_new,5,5,0.008333333333333331,0.018633899812498245,5,0.008333333333333326,0.01863389981249823,5,0.010227272727272729,0.02286887704261149,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
P1_minus_B3,unseen,harsh,two_new,5,5,0.0,0.0,5,-0.0638095238095238,0.09194299722778795,5,-0.004120980984162292,0.0056518593496028184,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333333,0.01141088661469096
P1_minus_B3,unseen,harsh,vertical_new,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
P1_minus_B3,unseen,harsh,wide_new,5,5,0.01666666666666667,0.022821773229381923,5,-0.030952380952380953,0.06933437989790972,5,0.01950844854070661,0.03235349787121692,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333333,0.01141088661469096
P1_minus_B3,unseen,standard,__all__,5,5,-0.006666666666666666,0.014907119849998596,1,,,5,-0.011800373134328357,0.02638643648822046,5,0.0,0.0,5,-0.008812500000000011,0.010500111376907843,5,-0.011666666666666667,0.0034860834438919823
P1_minus_B3,unseen,standard,horizontal_new,5,5,-0.01666666666666667,0.0372677996249965,1,,,5,-0.02747252747252747,0.06143043894230191,5,0.0,0.0,5,0.037673611111111074,0.030311177503923925,5,0.0,0.0
P1_minus_B3,unseen,standard,low_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.014814814814814814,0.03312693299999688,5,0.0,0.0,5,0.011111111111111117,0.010441954259510786,5,-0.029166666666666667,0.01141088661469096
P1_minus_B3,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.009548611111111115,0.010215800604114441,5,-0.020833333333333332,0.01473139127471974
P1_minus_B3,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.05468749999999998,0.03920690899526464,5,0.0,0.0
P1_minus_B3,unseen,standard,wide_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.013793103448275862,0.030842316931031583,5,0.0,0.0,5,-0.03385416666666665,0.024993368140430516,5,-0.008333333333333331,0.01141088661469096
