method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
B1,all,__all__,__all__,5,5,0.11093749999999998,0.06950247141639002,5,0.645538753483959,0.054270493182009945,5,0.18337494434489932,0.09607072932679196,5,0.6471110026041667,0.1313430760123502,5,0.6471110026041667,0.1313430760123502,5,0.029427083333333333,0.014132253699182432
B1,seen,__all__,__all__,5,5,0.15,0.09692414623537722,5,0.5950499007375067,0.08917036358408972,5,0.23256368979691738,0.12426028681792188,5,0.6628713348765432,0.13398304112954346,5,0.6628713348765432,0.13398304112954346,5,0.04513888888888888,0.012276159395599784
B1,seen,__all__,central_furniture,5,5,0.16666666666666669,0.10622957319984969,5,0.7584321475625824,0.0814934873391949,5,0.2601634919371849,0.12420295792387714,5,0.6614149305555556,0.1429363424772005,5,0.6614149305555556,0.1429363424772005,5,0.029166666666666667,0.022582795196540415
B1,seen,__all__,clear,5,5,0.2583333333333333,0.14328124053374497,5,0.5518810938165777,0.12065631447583137,5,0.3433573211661383,0.15811878554140835,5,0.6712239583333333,0.13726287157350192,5,0.6712239583333333,0.13726287157350192,5,0.09375,0.02442924874908036
B1,seen,__all__,vertical_mid,5,5,0.025,0.05590169943749475,4,,,5,0.04285714285714286,0.095831484749991,5,0.6819010416666667,0.10863820186102864,5,0.6819010416666667,0.10863820186102864,5,0.012499999999999999,0.008715208609729953
B1,seen,harsh,__all__,5,5,0.28055555555555556,0.18409982866254995,5,0.6226470588235294,0.0689787925217773,5,0.36777407668025014,0.16765552321398008,5,0.69477237654321,0.13268256782300983,5,0.69477237654321,0.13268256782300983,5,0.07916666666666666,0.03128855646130225
B1,seen,harsh,central_furniture,5,5,0.33333333333333337,0.21245914639969937,5,0.7584321475625824,0.0814934873391949,5,0.43301418439716316,0.16481392492017533,5,0.7005208333333334,0.12807276487158323,5,0.7005208333333334,0.12807276487158323,5,0.058333333333333334,0.04516559039308083
B1,seen,harsh,clear,5,5,0.4583333333333333,0.24473625259314022,5,0.5975664867497898,0.10530841583583377,5,0.49332113112836806,0.17427976434642056,5,0.7152777777777778,0.12932279896811522,5,0.7152777777777778,0.12932279896811522,5,0.15416666666666665,0.06353312784157045
B1,seen,harsh,vertical_mid,5,5,0.05,0.1118033988749895,4,,,5,0.075,0.16770509831248423,5,0.7190972222222223,0.11052566575814354,5,0.7190972222222223,0.11052566575814354,5,0.024999999999999998,0.017430417219459905
B1,seen,standard,__all__,5,5,0.019444444444444445,0.018633899812498245,5,0.4833333333333333,0.4579543888011362,5,0.037266951161688,0.03554871284693113,5,0.6339699074074074,0.13204200469711136,5,0.6339699074074074,0.13204200469711136,5,0.01111111111111111,0.009316949906249122
B1,seen,standard,central_furniture,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6373263888888888,0.15053494983785387,5,0.6373263888888888,0.15053494983785387,5,0.0,0.0
B1,seen,standard,clear,5,5,0.05833333333333333,0.05590169943749475,5,0.4833333333333333,0.4579543888011362,5,0.10325600325600326,0.09775718535982418,5,0.640798611111111,0.13617050017057752,5,0.640798611111111,0.13617050017057752,5,0.03333333333333333,0.02795084971874737
B1,seen,standard,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.640451388888889,0.1117440738478934,5,0.640451388888889,0.1117440738478934,5,0.0,0.0
B1,unseen,__all__,__all__,5,5,0.0875,0.053764532919016415,5,0.7109627259994907,0.09142634740725186,5,0.15054891039150117,0.07831424491454517,5,0.6380399305555555,0.129426601768284,5,0.6380399305555555,0.129426601768284,5,0.02,0.01570120306784731
B1,unseen,__all__,horizontal_new,5,5,0.025,0.04516559039308083,2,,,5,0.04387755102040816,0.07734263086382531,5,0.6492621527777778,0.1335348372692153,5,0.6492621527777778,0.1335348372692153,5,0.00625,0.013975424859373687
B1,unseen,__all__,low_new,5,5,0.18333333333333335,0.11729740216882707,5,0.7417654808959155,0.14923238836879735,5,0.27635840813210116,0.14283146346913683,5,0.6623697916666667,0.1389126566577416,5,0.6623697916666667,0.1389126566577416,5,0.0375,0.027163343355011037
B1,unseen,__all__,two_new,5,5,0.10416666666666666,0.03897559777889522,5,0.740934065934066,0.15581307404771128,5,0.17838309231751856,0.05390715806552415,5,0.6346788194444445,0.13277691133678435,5,0.6346788194444445,0.13277691133678435,5,0.022916666666666665,0.02003685839757432
B1,unseen,__all__,vertical_new,5,5,0.020833333333333336,0.046584749531245626,2,,,5,0.03636363636363636,0.08131156281817417,5,0.666796875,0.10814594897507186,5,0.666796875,0.10814594897507186,5,0.00625,0.009316949906249122
B1,unseen,__all__,wide_new,5,5,0.10416666666666667,0.04658474953124561,5,0.7159340659340659,0.18614132578521267,5,0.17625122418565042,0.06939132103764735,5,0.6137586805555555,0.11498238789565274,5,0.6137586805555555,0.11498238789565274,5,0.027083333333333338,0.02030582155168534
B1,unseen,harsh,__all__,5,5,0.1716666666666667,0.10746446441085122,5,0.7064605614973262,0.09688896925178844,5,0.2615743785645557,0.1194920955507573,5,0.6593194444444445,0.13165667998636024,5,0.6593194444444445,0.13165667998636024,5,0.04,0.03140240613569462
B1,unseen,harsh,horizontal_new,5,5,0.05,0.09033118078616166,2,,,5,0.0785,0.13531906739258884,5,0.6498263888888889,0.12996447071320047,5,0.6498263888888889,0.12996447071320047,5,0.0125,0.027950849718747374
B1,unseen,harsh,low_new,5,5,0.35000000000000003,0.22553947671207264,5,0.7334321475625823,0.1555059053227684,5,0.4351570415400203,0.18658056354888192,5,0.6866319444444444,0.12944364577498604,5,0.6866319444444444,0.12944364577498604,5,0.075,0.054326686710022075
